ticker,volume,category
DFNV,6726,Technology
DFRA,6433,Large Value
DFSD,218277,Short-Term Bond
DFSE,17363,Diversified Emerging Mkts
DFSI,33875,Foreign Large Blend
DFSU,77387,Large Blend
DFSV,266948,Small Value
DFUS,137860,Large Blend
DFUV,199992,Large Value
DGIN,22,India Equity
DGRE,4597,Diversified Emerging Mkts
DGRO,1027113,Large Value
DGRS,6720,Small Value
DGRW,525319,Large Blend
DGS,56483,Diversified Emerging Mkts
DHS,56447,Large Value
DIA,2301876,Large Value
DIAL,135284,Multisector Bond
DIEM,605,Diversified Emerging Mkts
DIG,62442,Trading--Leveraged Equity
DIHP,773069,Foreign Large Blend
DIM,1049,Foreign Small/Mid Value
DINT,36140,Foreign Large Blend
DIP,217,Large Blend
DISV,920709,Foreign Small/Mid Value
DIV,75663,Mid-Cap Value
DIVB,19931,Large Value
DIVI,50311,Foreign Large Value
DIVY,2990,Large Value
DIVZ,363,Large Value
DJD,23204,Large Value
DJIA,21363,Large Blend
DLN,94567,Large Value
DLS,16812,Foreign Small/Mid Value
DMAT,621,Natural Resources
DMBS,1216,Intermediate-Term Bond
DMCY,67548,Foreign Large Blend
DMDV,18,Foreign Large Value
DMXF,9485,Foreign Large Blend
DNL,35736,Foreign Large Growth
DOG,504470,Trading--Inverse Equity
DOGG,330,Large Value
DOL,16695,Foreign Large Value
DON,84386,Mid-Cap Value
DPST,15213647,Trading--Leveraged Equity
DRIP,888350,Trading--Inverse Equity
DRIV,200536,Miscellaneous Sector
DRLL,25714,Equity Energy
DRN,320360,Trading--Leveraged Equity
DRSK,41834,Short-Term Bond
DRV,135269,Trading--Inverse Equity
DSCF,1200,Allocation--30% to 50% Equity
DSI,82189,Large Blend
DSJA,1,Trading--Miscellaneous
DSMC,31111,Small Value
DSOC,313,Trading--Miscellaneous
DSTL,37786,Large Blend
DSTX,31656,Foreign Large Blend
DTD,20667,Large Value
DTEC,9783,Technology
DTH,32167,Foreign Large Value
DTRE,775,Global Real Estate
DUDE,5348,Tactical Allocation
DUG,128729,Trading--Inverse Equity
DUHP,1144615,Large Blend
DURA,12960,Large Value
DUSA,110110,Large Blend
DUSL,3349,Trading--Leveraged Equity
DUST,6953578,Trading--Inverse Equity
DVAL,5035,Large Value
DVLU,900,Mid-Cap Value
DVND,185,Large Value
DVOL,9079,Large Blend
DVY,651408,Large Value
DVYA,1580,Pacific/Asia ex-Japan Stk
DVYE,52841,Diversified Emerging Mkts
DWAS,20848,Small Growth
DWAT,2,Tactical Allocation
DWAW,573,Large Blend
DWCR,10,Foreign Large Growth
DWM,18378,Foreign Large Value
DWMC,376,Small Blend
DWMF,1788,Foreign Large Blend
DWSH,54315,Trading--Inverse Equity
DWUS,7,Large Growth
DWX,6580,Foreign Large Value
DXD,251008,Trading--Inverse Equity
DXGE,1576,Miscellaneous Region
DXJ,204935,Japan Stock
DXJS,3476,Japan Stock
DYLD,6196,Multisector Bond
DYNF,626,Large Blend
DYTA,6311,World Allocation
EAFD,757,Foreign Large Blend
EAGG,93410,Intermediate-Term Bond
EAOA,151,Allocation--70% to 85% Equity
EAOK,105,Allocation--30% to 50% Equity
EAOM,992,Allocation--30% to 50% Equity
EAOR,19,Allocation--50% to 70% Equity
EASG,1576,Foreign Large Blend
EATV,28,Consumer Defensive
EATZ,739,Consumer Cyclical
EBIZ,2101,Consumer Cyclical
EBLU,1670,Natural Resources
EBND,261741,Emerging-Markets Local-Currency Bond
ECH,218922,Miscellaneous Region
ECLN,1496,Utilities
ECML,1712,Large Value
ECNS,4883,China Region
